Acronym;Norsk;Russian;English;Latin
ALALL;Alkekonge;Люрик  / Lyurik;Little Auk;Alle alle
ALTOR;Alke;Гагарка / Gagarka;Razorbill;Alca torda
ANANS;Grågås;Серый гусь / Seryi gus’;Greylag Goose;Anser anser
ANBRA;Kortnebbgås;Короткоклювый гуменник / Korotkoklyuvyi gumennik;Pink-footed Goose;Anser brachyrhynchus
BRBER;Ringgås;Чёрная казарка / Chernaya kazarka;Brent Goose;Branta bernicla
BRLEU;Hvitkinngås;Белощёкая казарка / Belosh’ekaya kazarka;Barnacle Goose;Branta leucopsis
CEGRY;Teist;Обыкнове́нный чи́стик / Obyknovennyi chistik;Black Guillemot;Cepphus grylle
FRARC;Lunde;Атлантический ту́пик / Atlanticheskiy tupik;Atlantic Puffin;Fratercula arctica
FUGLA;Nordlig havhest;Глупыш / Glupysh;Northern Fulmar;Fulmarus glacialis
LAARG;Gråmåke;Серебри́стая ча́йка / Serebristaya chaika;European Herring Gull;Larus argentatus
LACAN;Fiskemåke;Сизая чайка / Sizaya chaika;Common Gull;Larus canus canus
LAFUS;Sildemåke;Клу́ша / Klusha;Lesser Black-backed Gull;Larus fuscus
LAHYP;Polarmåke;Бургомистр, или большая полярная чайка / Burgomistr  (Bol’shaya polyarnaya chaika);Glaucous Gull;Larus hyperboreus
LAMAR;Svartbak;Морская чайка / Morskaya chaika;Great Black-backed Gull;Larus marinus
LASAB;Sabinemåke;Вилохвостая чайка / Vilohvostaya chaika;Sabine's Gull;Larus sabini
MOBAS;Havsule;Се́верная о́луша / Severnaya olusha;Northern Gannet;Morus bassanus
PAEBU;Ismåke;Бе́лая ча́йка / Belaya chaika;Ivory Gull;Pagophila eburnea
PHARI;Toppskarv;Хохла́тый бакла́н / Hohlatyi baklan;European Shag;Phalacrocorax aristotelis
PHCAR;Storskarv;Большой баклан / Bol’shoy baklan;Great Cormorant;Phalacrocorax carbo
RITRI;Krykkje;Обыкновенная мо́евка / Obyknovennaya moevka;Black-legged Kittiwake;Rissa tridactyla
SOMOL;Ærfugl;Обыкнове́нная га́га / Obyknovennaya gaga;Common Eider;Somateria mollissima
SOSPE;Praktærfugl;Га́га-гребену́шка / Gaga-grebenushka;King Eider;Somateria spectabilis
STPAS;Rødnebbterne;Полярная крачка / Polyarnaya krachka;Arctic Tern;Sterna paradisaea
URAAL;Lomvi;Тонкоклювая кайра / Tonkoklyuvaya kaira;Common Murre;Uria aalge
URLOM;Polarlomvi;Толстоклю́вая ка́йра / Tostoklyuvaya kaira;Thick-billed Murre;Uria lomvia
